,mean,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std,std
method,Auction-based,Boustrophedon,DARP+TMSTC,Grid,MARL,MSTC,Random,Auction-based,Boustrophedon,DARP+TMSTC,Grid,MARL,MSTC,Random
grid_label,,,,,,,,,,,,,,
20x20,3217.0,3017.0,2815.0,3017.0,2917.0,3017.0,3017.0,0.0,0.0,43.0,0.0,44.0,0.0,0.0
30x30,7238.0,6788.0,6312.0,6788.0,6541.0,6788.0,6788.0,0.0,0.0,95.0,0.0,98.0,0.0,0.0
40x40,12867.0,12068.0,11214.0,12068.0,11620.0,12068.0,12068.0,0.0,0.0,130.0,0.0,135.0,0.0,0.0
50x50,20105.0,18856.0,17451.0,18856.0,18083.0,18856.0,18856.0,0.0,0.0,252.0,0.0,261.0,0.0,0.0
